"token","poe_prob","id","name_A","name_B"
"A",0.896697822555358,31,"MFJ International","Synergia Corporation"
"A",0.999915049325588,32,"Entertainment Software Association","United Fresh Produce Association"
"A",0.996805319664226,33,"American Chamber of Commerce in Canada","Ranchers-Cattlemen Action Legal Fund United Stockgrowers of America"
"A",0.995898943588037,34,"Association of Global Automakers","Norfolk Southern Corporation"
"B",0.98737332002126,35,"California Cling Peach Board","Estee Lauder Companies"
"A",0.878603461582318,36,"COLCERAMICA S.A.","Sweetener Users Association"
"A",0.961350002824431,37,"Coalition of Services Industries","Counsel for International Intellectual Property Alliance"
"A",0.999903897026368,38,"American Apparel & Footwear Association","Asiana Airlines"
"T",0.777810160879127,39,"Distilled Spirits Council of the United States","Omega Flex, Inc."
"B",0.998027515347935,40,"Grocery Manufacturers Association","Hyundai-Kia Machine America Corporation"
"B",0.766157211895736,41,"California Cherry Board","Iowa Corn Growers Association"
"B",0.851949456778751,42,"International Intellectual Property Alliance","National Council of Textile Organizations"
"A",0.957897794173512,43,"National Football League","Tile Council of North America"
"A",0.999982230906259,44,"ConAgra Foods","News Media Alliance"
"A",0.999993854953301,45,"AngloGold Ashanti Americas","Outdoor Industry Association"
"A",0.999752304894918,46,"Association of Global Automakers","Pharmaceutical Research and Manufacturers of America"
"B",0.998779167869022,47,"Chuck Allison","International Dairy Foods Association"
"B",0.711601791166415,48,"American Sugar Alliance","Coalition of Services Industries"
"A",0.999489244533872,49,"Corn Refiners Association","National Cotton Council of America"
"A",0.904648042905021,50,"Duty Drawback Coalition","National Association of State Departments of Agriculture"
"B",0.716557215488746,51,"Travel Goods Association","U.S. Chamber of Commerce"
"A",0.999965226830703,52,"ASTM International","Doyon"
"T",0.512808659083008,53,"BizSolutions 360 Inc.","Internet Association"
"B",0.742954424468822,54,"MFJ International","The Software Alliance"
"A",0.987510483965669,55,"Bay Area Council","National Electrical Manufacturers Association"
"B",0.50008608498803,56,"Agri-Port Services","Computer & Communications Industry Association"
"B",0.990638497678466,57,"National Cattlemen’s Beef Association","Personal Care Products Council"
"T",0.731183211979792,58,"MARCHO FARMS","television association of programmers latin america"
"B",0.998284589000135,59,"BT","Emergency Committee for American Trade"
"A",0.988994544979789,60,"Committee to Support U.S. Trade Laws","W. L. Gore and Associates"
"A",0.999155914592732,61,"Business Council of Alabama","U.S. Wheat Associates"
"A",0.999999903100091,62,"American Apparel & Footwear Association","The Fertilizer Institute"
"A",0.904636868046979,63,"Fashion Accessories Shippers Association","QVC"
"B",0.754860209918847,64,"American Sugar Alliance","Walmart"
"A",0.999998486200924,65,"Business Council of Canada","California Table Grape Commission"
"A",0.999999789350883,66,"American International Automobile Dealers Association","Farmers for Free Trade"
"A",0.893006164122441,67,"Allegheny Technologies Incorporated","Distilled Spirits Council of the United States"
"B",0.999714279603626,68,"California Cherry Board","Coalition of Services Industries"
"A",0.999869662866365,69,"Overseas Korean Traders Association of Southern California","Satellite Industry Association"
"B",0.979664072689963,70,"Association of the Nonwoven Fabrics Industry","Direct Selling Association"
"B",0.783930821650478,71,"Aerospace Industries Association","Computing Technology Industry Association"
"A",0.991998700653415,72,"The App Association","Washington Council on International Trade"
"A",0.998257575050674,73,"Federal Express Corporation","National Foreign Trade Council"
"A",0.999971500072597,74,"Corporate Council on Africa","Federal Express Corporation"
"A",0.902637226554905,75,"Association of Global Automakers","U.S. Hide, Skin and Leather Association"
"A",0.866035339833266,76,"Cargill","National Potato Council"
"A",0.999991812852736,77,"Greater Raleigh Chamber of Commerce","Texas Grain Sorghum Producers"
"A",0.987450948600171,78,"National Pork Producers Council","Wine Institute"
"A",0.999085823269586,79,"National Foreign Trade Council","Northwest Horticultural Council"
"B",0.945876158773149,80,"Outdoor Industry Association","Steel Manufacturers Association"
"A",0.999856907591048,81,"National Electrical Manufacturers Association","National Electrical Manufacturers Association"
"B",0.924317295727462,82,"American Property Casualty Insurance Association","National Confectioners Association"
"B",0.9564690358874,83,"Alaska Seafood Marketing Institute","Altrius Group"
"A",0.587698243883874,84,"American Fiber Manufacturers Association","Boeing Company"
"A",0.989628860546925,85,"Air-Conditioning, Heating, and Refrigeration Institute","Internet Association"
"T",0.816726174961021,86,"California Chamber of Commerce","Iridium Communications"
"B",0.997346602872945,87,"European Boating Industry","International Confederation of Inspection and Certification Organisations"
"A",0.997947697164518,88,"Chrysler Group","U.S. Food and Agriculture Dialogue for Trade Asia-Pacific Working Group"
"A",0.995845740501389,89,"AngloGold Ashanti Americas","Kia Motors America"
"A",0.999995441839642,90,"National Association of Foreign-Trade Zones","National Milk Producers Federation"
"A",0.999353861163161,91,"Biotechnology Innovation Organization","U.S.-Africa Business Center of the U.S. Chamber of Commerce (“Chamber”)"
"A",0.982013585381348,92,"Omega Flex, Inc.","Quality Plus"
"A",0.999999618565338,93,"National Electrical Manufacturers Association","Society of American Florists"
"A",0.999959858948181,94,"American Apparel & Footwear Association","American Chamber of Commerce in Canada"
"A",0.578993821122175,95,"Allegheny Technologies Incorporated","Hearth & Home Technologies"
"B",0.500216961819579,96,"Pharmaceutical Research and Manufacturers of America","Sports & Fitness Industry Association"
"T",0.829313707759814,97,"American Soybean Association","Etsy"
"B",0.932452758685814,98,"Digital Creators Working Group","Dow Chemical Company"
"B",0.99999620690772,99,"Ginseng Board of Wisconsin","Northwest Horticultural Council"
"A",0.999960699083961,100,"Colombian American Chamber of Commerce","Society of American Florists"
"A",0.99656728020494,101,"Association of American Publishers","U.S. Rice Producers Association"
"B",0.5,102,"MetLife","Timken Company"
"A",0.995389814822921,103,"Materion","Recreation Vehicle Industry Association"
"T",0.759990053878962,104,"American Fiber Manufacturers Association","National Confectioners Association"
"A",0.999937902234939,105,"American Association of Exporters and Importers","Association of Global Automakers"
"A",0.928450905184296,106,"National Chicken Council","Varian Medical Systems, Inc."
"B",0.977025646348675,107,"International Dairy Foods Association","TechAmerica"
"T",0.5,108,"American Chamber of Commerce in South Korea","MARCHO FARMS"
"A",0.931555747512749,109,"American Iron and Steel Institute","Northwest Horticultural Council"
"A",0.999806218673533,110,"Deutsche Post DHL","U.S. Grains Council"
"B",0.633098182353888,111,"Banner & Witcoff","Siemens"
"A",0.973279743145389,112,"American Oilseed Coalition","Association of the Nonwoven Fabrics Industry"
"A",0.844073826110331,113,"Agri-Port Services","Narrow Fabrics Institute"
"B",0.975953046969808,114,"Distilled Spirits Council of the United States","Greater Omaha Chamber"
"A",0.880771330151764,115,"Pharmaceutical Research and Manufacturers of America","Rapid7"
"A",0.999995196676647,116,"Ocean Spray International","Union Pacific Railroad"
"A",0.998970621651601,117,"National Pork Producers Council","Omega Flex, Inc."
"A",0.99937245602275,118,"Chevron","Hearth & Home Technologies"
"T",0.5,119,"Coalition of Services Industries","U.S. Global Value Chain Coalition"
"B",0.936316757816337,120,"California Dried Plum Board","Gerdau Long Steel"
"T",0.677394990758927,121,"Business Forward","Council of the Americas"
"T",0.5,122,"Chevron","International Wood Products Association"
"A",0.957908491038452,123,"California Chamber of Commerce","Consumer Health Products Canada"
"A",0.959467895799069,124,"Colombian Cattlemen Federation","Intellectual Ventures"
"B",0.525723832486347,125,"Cranberry Institute","National Association of Foreign-Trade Zones"
"A",0.999484704941576,126,"Emergency Committee for American Trade","National Foreign Trade Council"
"A",0.996389697246678,127,"UL","Wine Institute"
"B",0.999970360244538,128,"Estee Lauder Companies","San Mateo County Hispanic Chamber of Commerce"
"A",0.99999640535155,129,"Cobb-Vantress","Specialty Food Association"
"A",0.995608077857636,130,"American Meat Institute","Cheese Importers Association of America"
"B",0.879687429105262,131,"Regal Beloit Corporation","U.S. Chamber of Commerce"
"B",0.993340421855789,132,"National Beer Wholesalers Association","Navistar International"
"A",0.776813949451572,133,"National Confectioners Association","National Grain and Feed Association"
"A",0.999903787831682,134,"American Association for Laboratory Accreditation","Corn Refiners Association"
"A",0.999729874668983,135,"Daewoo International","National Association of Foreign-Trade Zones"
"A",0.716801288054408,136,"AngloGold Ashanti Americas","EchoStar Corporation"
"B",0.969756635352872,137,"International Dairy Foods Association","National Council of Textile Organizations"
"B",0.99672726019628,138,"Hardwood Federation","Overseas Korean Traders Association of Southern California"
"A",0.997133020871602,139,"Motion Picture Association of America","North American Meat Association"
"B",0.985947984695819,140,"American Feed Industry Association","Steel Manufacturers Association"
"A",0.999994073439417,141,"Emergency Committee for American Trade","National Foreign Trade Council"
"A",0.999494661097432,142,"Colombian Cattlemen Federation","National Tooling and Machining Association"
"A",0.817399548304686,143,"Association of Fish and Wildlife Agencies","Dredging Contractors of America"
"A",0.999175816863318,144,"National Oilseed Processors Association","Ocean Spray International"
"A",0.997318029180683,145,"EchoStar Corporation","Securities Industry and Financial Markets Association"
"B",0.99999923956207,146,"Seaboard Foods","UNISYS DE COLOMBIA SA"
"A",0.999997779811718,147,"Association for the Administration of Rice Quotas","National Milk Producers Federation"
"A",0.777290233606623,148,"Computer & Communications Industry Association","San Diego Regional Chamber of Commerce"
"B",0.531185414185062,149,"Amway Corporation","Space Exploration Technologies"
"T",0.50355708224146,150,"Entertainment Software Association","Grocery Manufacturers Association"
"A",0.999984527221646,151,"American Iron and Steel Institute","Federation of Korean Industries"
"B",0.988876291713155,152,"Hitran","Sunkist Growers"
"A",0.999991539245014,153,"American Soybean Association","U.S. Association of Importers of Textiles and Apparel"
"B",0.568286349018728,154,"Mastercard","SEMI"
"B",0.90967366685844,155,"National Automobile Dealers Association","U.S. Chamber of Commerce"
"A",0.622308617836023,156,"Commercial Metals Co.","U.S. Fashion Industry Association"
"B",0.938313804498151,157,"Association of American Publishers","National Association of Manufacturers"
"B",0.516998335466179,158,"American Forest & Paper Association","Libbey"
"A",0.999959288770961,159,"Interactive Advertising Bureau","Organic Trade Association"
"A",0.851195185203122,160,"National Potato Council","Telecommunications Industry Association"
"A",0.999999787063018,161,"Association of the Nonwoven Fabrics Industry","Glanbia USA"
"B",0.92414051957645,162,"American Potato Trade Alliance","RELX Group"
"B",0.550554466448637,163,"International Confederation of Inspection and Certification Organisations","Libbey"
"A",0.999371866445611,164,"Telecommunications Industry Association","Truck and Engine Manufacturers Association"
"A",0.651088590403311,165,"American Oilseed Coalition","Steel Manufacturers Association"
"A",0.73310921438252,166,"MFJ International","Pepsico"
"A",0.712818595918703,167,"Counsel for International Intellectual Property Alliance","Dow Chemical Company"
"B",0.50117149231935,168,"American Association for Laboratory Accreditation","Corn Refiners Association"
"A",0.995567459493158,169,"Gramercy Funds Management","International Intellectual Property Alliance"
"B",0.979742926362552,170,"Association of American Chambers of Commerce in Latin America","Korea International Trade Association"
"B",0.645636120903626,171,"Almond Board of California","American Peanut Product Manufacturers"
"A",0.99639838193149,172,"Business Council for International Understanding","Federal Express Corporation"
"B",0.697912872335622,173,"Association of Sugar Producers of Colombia","Boeing Company"
"A",0.650165424516338,174,"American Natural Soda Ash Corporation","Cargill"
"T",0.946842956718351,175,"Business Europe","Council of the Americas"
"A",0.85187113756374,176,"Association for Computing Machinery","C.I. Unico Interior S.A."
"A",0.61868391000931,177,"International Serum Industry Association","Renewable Energy Group"
"A",0.995230541500398,178,"American Association of Exporters and Importers","Grocery Manufacturers Association"
"A",0.999988724163273,179,"JAX Chamber","Nichino America"
"A",0.997663711939235,180,"Alaska Seafood Marketing Institute","American Peanut Council"
"A",0.796401294023435,181,"Corn Refiners Association","U.S. Biotech Crops Alliance"
"A",0.999982663031996,182,"Coca-Cola Servicios de Colombia","International Council of Beverages Associations"
"A",0.999975195432229,183,"Association of Global Automakers","International Intellectual Property Alliance"
"A",0.562169668292504,184,"American Sugar Alliance","Northwest Horticultural Council"
"A",0.651318337058879,185,"American Frozen Food Institute","Association of Global Automakers"
"A",0.973421585736288,186,"Aluminum Association","CropLife America"
"A",0.951715381903754,187,"American Feed Industry Association","Cisco Systems"
"B",0.998088706062447,188,"Cranberry Marketing Committee","Personal Care Products Council"
"B",0.71090997761499,189,"Agathon Associates - Textiles and Trade Consulting","Dallas Regional Chamber and the Dallas/Fort Worth international business community"
"A",0.999088866411245,190,"Outdoor Power Equipment Institute","Overseas Korean Traders Association of Southern California"
"B",0.880586619584085,191,"National Association of International Trade","Procter & Gamble"
"A",0.999738771835078,192,"AbbVie","U.S. Chamber of Commerce"
"T",0.534956385506371,193,"Aluminum Association","Association of Global Automakers"
"B",0.910529565899581,194,"Groundfish Forum","Information Technology Industry Council"
"B",0.500003610308199,195,"General Electric Company","International Intellectual Property Alliance"
"B",0.592691623909694,196,"California Chamber of Commerce","Tyson Foods"
"B",0.72351378781198,197,"American Beverage Association","Internet Association"
"A",0.999968750932796,198,"Advanced Medical Technology Association","Cargill"
"A",0.994709020581887,199,"Illinois Tool Works","Libbey"
"A",0.999716337998601,200,"American Potato Trade Alliance","California Olive Association"
"A",0.999946930211674,201,"National Confectioners Association","Steel Manufacturers Association"
"A",0.976983533771846,202,"American Legislative Exchange Council","California Cling Peach Board"
"A",0.999710882450874,203,"Blue Diamond Growers","Pharmaceutical Research and Manufacturers of America"
"A",0.999889161438877,204,"American Herbal Products Association","National Pork Producers Council"
"A",0.997525626140886,205,"American Chamber of Commerce in Japan","Emergency Committee for American Trade"
"A",0.991403743594184,206,"ABB","U.S. Business Coalition for TPP"
"B",0.9998018971249,207,"Gerdau Long Steel","Telecommunications Industry Association"
"A",0.997041928967654,208,"National Confectioners Association","Northwest Horticultural Council"
"B",0.637509564669044,209,"Committee to Support U.S. Trade Laws","Distilled Spirits Council of the United States"
"T",0.500904732016709,210,"American Trucking Associations","Citigroup"
"A",0.999998786385067,211,"British-American Business Association","Herbalife International of America"
"B",0.56216051310298,212,"Motor & Equipment Manufacturers Association","Norfolk Southern Corporation"
"B",0.5,213,"Alliance for Clean Technology Innovation","U.S. Meat Export Federation"
"A",0.990867471773118,214,"Herbalife International of America","MCT Dairies"
"B",0.999085823730654,215,"California Cherry Board","National Foreign Trade Council"
"B",0.999523554551785,216,"California Table Grape Commission","Iridium Communications"
"A",0.992503102817739,217,"Advanced Medical Technology Association","California Olive Association"
"A",0.999999831081562,218,"California Cherry Board","North American Energy Standards Board"
"A",0.999998753069359,219,"Air-Conditioning, Heating, and Refrigeration Institute","U.S.-Africa Business Center of the U.S. Chamber of Commerce (“Chamber”)"
"A",0.999997350299621,220,"Federal Express Corporation","Glanbia USA"
"A",0.663752936833799,221,"At-sea Processors Association","Keurig Green Mountain"
"A",0.998755818335772,222,"Federal Express Corporation","Industrial Truck Association"
"A",0.99994104634707,223,"Express Association of America","Toy Association"
"A",0.974474803480044,224,"Chubb Group of Insurance Companies","U.S. Meat Export Federation"
"A",0.528755481442166,225,"Daewoo International","Information Technology Industry Council"
"A",0.999088936523412,226,"Blue Diamond Growers","USA Rice Federation"
"A",0.5,227,"Internet Association","U.S. Wheat Associates"
"A",0.999999945425534,228,"National Milk Producers Federation","Ticketmaster"
"A",0.999517698727157,229,"Biotechnology Industry Organization","Library Copyright Alliance"
"A",0.876696598494016,230,"American Sugar Alliance","Express Association of America"
"B",0.998826229420656,231,"American Fuel & Petrochemical Manufacturers","Washington Council on International Trade"
"A",0.714806846757733,232,"National Electrical Manufacturers Association","United States Council for International Business"
"A",0.941280342878537,233,"California Cling Peach Board","Society of American Florists"
"A",0.995132305898762,234,"American Association of Exporters and Importers","American Automotive Policy Council"
"A",0.999985813992328,235,"Independent Bakers Association","Omega Flex, Inc."
"B",0.999999697656414,236,"Industrial Energy Consumers of America","SEMI North America"
"A",0.999860147824139,237,"Association for Accessible Medicines","California Walnut Commission"
"T",0.651354864666054,238,"Agri-Port Services","Cheese Importers Association of America"
"B",0.5,239,"IBM Corporation","Korea Express U.S.A."
"B",0.96413245635498,240,"TechAmerica","U.S. Fashion Industry Association"
"A",0.999820113631046,241,"American Apparel & Footwear Association","U.S. Chamber of Commerce"
"B",0.893483884114116,242,"American Seed Trade Association","North American Meat Institute"
"A",0.999820306514775,243,"American Insurance Association","Canadian Patent Utility Coalition"
"A",0.999858120683834,244,"American Chamber of Commerce in Japan","California Cling Peach Board"
"A",0.999999987399193,245,"Association of Global Automakers","Motorcycle Industry Council"
"B",0.753670417564882,246,"California Cling Peach Board","Ocean Spray International"
"A",0.988939163916794,247,"National Electrical Manufacturers Association","Walmart"
"B",0.505146407640404,248,"American Meat Institute","Business & Procurement Partners"
"B",0.561172387295717,249,"Alliance for Healthcare Competitivenes","American Dehydrated Onion and Garlic Association"
"A",0.997182900000638,250,"Pokémon Company International","Ticketmaster"
"B",0.752616587238048,251,"Coalition of Services Industries","U.S. Hop Industry Plant Protection Committee"
"A",0.966343886110463,252,"California Chamber of Commerce","U.S.-Korea Business Council"
"B",0.555283458983788,253,"American Medical Student Association","Recording Industry Association of America"
"B",0.852911539500443,254,"Latin America Trade Coalition","National Fisheries Institute"
"B",0.998658320489359,255,"Chrysler Group","Society of Chemical Manufacturers & Affiliates"
"B",0.999804373361146,256,"Keurig Green Mountain","San Diego Regional Chamber of Commerce"
"A",0.939911795830574,257,"Dredging Contractors of America","USA Poultry & Egg Export Council"
"A",0.999999630730512,258,"American Forest & Paper Association","Mauritius Sugar Syndicate"
"B",0.996598288386406,259,"Biotechnology Innovation Organization","U.S. Chamber of Commerce"
"A",0.999975652217714,260,"American Iron and Steel Institute","Association of International Automobile Manufacturers"
"B",0.500692737577776,261,"Computer & Communications Industry Association","National Cattlemen’s Beef Association"
"B",0.413606227255163,262,"Cintas","National Foreign Trade Council"
"A",0.9913053040169,263,"Steel Manufacturers Association","Walmart"
"A",0.99883048649595,264,"Footwear Distributors & Retailers of America","Schramm, Williams & Associates"
"A",0.999998100249299,265,"American Cotton Shippers Association","American Medical Student Association"
"B",0.5,266,"Chevron Upstream and Gas","Oxfam America"
"A",0.999985259361452,267,"California Avocado Commission","U.S. Maritime Coalition"
"A",0.641527701810341,268,"Chevron","US-Colombia Business Partnership"
"A",0.999968425494963,269,"Biotechnology Innovation Organization","U.S. Canadian Border Inspection Association"
"B",0.999973185890788,270,"American Sugar Alliance","Daimler North America Corporation"
"A",0.999947345399826,271,"Advanced Medical Technology Association","National Milk Producers Federation"
"A",0.998674545023325,272,"Chevron","Doyon"
"A",0.9889832795178,273,"Cisco Systems","U.S.-Mexico Chamber of Commerce"
"A",0.754711652015619,274,"International Intellectual Property Alliance","National Oilseed Processors Association"
"B",0.998940290239591,275,"International Dairy Foods Association","National Milk Producers Federation"
"B",0.908714429228275,276,"American Association of Exporters and Importers","National Association of Beverage Importers"
"A",0.866943348498116,277,"Association of Equipment Manufacturers","International Intellectual Property Alliance"
"A",0.999744202729952,278,"U.S. Meat Export Federation","USA Rice Federation"
"A",0.997281329717275,279,"International Dairy Foods Association","W. L. Gore and Associates"
"A",0.999833371309074,280,"Narrow Fabrics Institute","Rassini"
"A",0.999290007495555,281,"Library Copyright Alliance","National Marine Manufacturers Association"
"A",0.999953046092493,282,"Alliance of Automobile Manufacturers","Express Association of America"
"B",0.99992523049424,283,"Can Manufacturers Institute","TechAmerica"
"A",0.835040789245643,284,"American Forest & Paper Association","Distilled Spirits Council of the United States"
"B",0.499999448154117,285,"Computing Technology Industry Association","New York Life Insurance Company"
"A",0.995929757861358,286,"American Council of Life Insurers","Animal Health Institute"
"A",0.999999992742881,287,"Almond Board of California","Owner-Operator Independent Drivers Association"
"A",0.998429119582928,288,"Boeing Company","Medical Device Manufacturers Association"
"B",0.67818326769191,289,"Fonterra","U.S. Grains Council"
"A",0.999569502252404,290,"American Apparel & Footwear Association","American Soybean Association"
"B",0.5,291,"Appleton Luff","Timken Company"
"A",0.385441608633604,292,"National Electrical Manufacturers Association","Walmart"
"A",0.998468810541032,293,"Herbalife International of America","Northwest Horticultural Council"
"A",0.974025154902206,294,"Express Association of America","Jaguar Land Rover North America"
"A",0.991422055236958,295,"Arizona Chamber of Commerce & Industry","Flemish Master Weavers"
"B",0.851965426584483,296,"Colombian Association of Insurance Companies","ConAgra Foods"
"A",0.999941707178296,297,"Banner & Witcoff","Navistar International"
"A",0.998072199289094,298,"Distilled Spirits Council of the United States","Steel Manufacturers Association"
"B",0.575815514960843,299,"Business Council of Alabama","U.S. Hide, Skin and Leather Association"
"A",0.9993675175645,300,"Handmade Toy Alliance","Sports & Fitness Industry Association"
"A",0.731050716781592,301,"National Meat Association","U.S. Chamber of Commerce"
"B",0.692548611214844,302,"Port of Corpus Christi","The App Association"
"A",0.999925066042472,303,"Coalition of Services Industries","Industria de Alimentos Zenú S.A."
"B",0.900876410369621,304,"California Walnut Commission","National Pork Producers Council"
"B",0.985842956376109,305,"Northwest Horticultural Council","Washington Council on International Trade"
"B",0.638727937806256,306,"CSX","Vilore Foods"
"B",0.974026675927023,307,"Chuck Allison","US Associations"
"B",0.9324500557557,308,"Alliance of Automobile Manufacturers","Chevron Upstream and Gas"
"A",0.999999337134626,309,"Egg Export Council","Recording Industry Association of America"
"A",0.996939343715636,310,"Consumer Electronics Association","Information Technology Industry Council"
"A",0.99459219716037,311,"Association for Accessible Medicines","Plastics Pipe Institute"
"A",0.992757272329786,312,"Chevron","North American Market Working Group of the U.S. Food and Agriculture Dialogue for Trade"
"A",0.999088929879305,313,"American Chamber of Commerce in Singapore","U.S.-Mexico Chamber of Commerce"
"B",0.990942066388803,314,"California Cherry Board","Deere & Company"
"A",0.999689312643569,315,"Agri-Port Services","North American Meat Institute"
"B",0.962603736433893,316,"MARCHO FARMS","TechAmerica"
"A",0.999902134205861,317,"American Feed Industry Association","International Dairy Foods Association"
"B",0.880311135778267,318,"Internet Association","Metals Service Center Institute"
"B",0.984066014567372,319,"Association of Global Automakers","Information Technology Industry Council"
"A",0.999999959685547,320,"Association of Global Automakers","Welch Foods"
"A",0.591989302991997,321,"Rapid7","Welch Foods"
"A",0.99297181469801,322,"Bristol-Myers Squibb","Ingersoll Rand"
"A",0.982010069972486,323,"Canadian American Bar Association","Procter & Gamble"
"B",0.996385105732341,324,"National Pork Producers Council","National Potato Council"
"A",0.99477102769616,325,"Alaska Seafood Marketing Institute","Westmoreland Coal Company"
"A",0.998955886112845,326,"American Chemistry Council","Express Association of America"
"A",0.998485849362172,327,"American Apparel & Footwear Association","U.S. Association of Importers of Textiles and Apparel"
"B",0.530592837577373,328,"American Forest & Paper Association","American Iron and Steel Institute"
"A",0.999981968256609,329,"American Automotive Policy Council","Cheese Importers Association of America"
"A",0.999384383970587,330,"Great Lakes Metro Chambers Coalition","Library Copyright Alliance"
"A",0.998954788478699,331,"Atlas Air Worldwide Holdings","National Milk Producers Federation"
"A",0.90294841289601,332,"Korea Chamber of Commerce and Industry","Prudential Financial"
"B",0.852132745752287,333,"California Cherry Board","National Chicken Council"
"A",0.999859530543902,334,"American Numismatic Association","International Confederation of Inspection and Certification Organisations"
"A",0.999994939010172,335,"National Foreign Trade Council","TechAmerica"
"A",0.999997739081452,336,"Duty Drawback Coalition","Pentel of America"
"A",0.999991059652189,337,"Bombardier Recreational Products","Cargill"
"A",0.962603772301607,338,"Automotive Aftermarket Industry Association","International Intellectual Property Alliance"
"A",0.999988223161286,339,"BlackBerry","Greater Raleigh Chamber of Commerce"
"A",0.499878015262886,340,"ConAgra Foods","Express Association of America"
"A",0.994087793043107,341,"National Electrical Manufacturers Association","Recording Industry Association of America"
"B",0.99968407410633,342,"American Association of Exporters and Importers","Telecommunications Industry Association"
"B",0.929768522524511,343,"American Numismatic Association","Grocery Manufacturers Association"
"A",0.997103507996378,344,"California Cling Peach Board","National Renderers Association"
"A",0.94632966790527,345,"National Milk Producers Federation","Pet Food Institute"
"A",0.999510142572554,346,"American Automotive Policy Council","American Forest & Paper Association"
"A",0.99921017572081,347,"American Chamber of Commerce/Mexico","Entertainment Software Association"
"A",0.995202445021361,348,"Galaxy Systems Inc.","U.S.-Korea Business Council"
"B",0.562187879737088,349,"International Dairy Foods Association","Titanium Metals Corporation"
"A",0.966902341347487,350,"U.S. Grains Council","Western Pistachio Association"
"A",0.9924246878944,351,"Generic Pharmaceutical Association","Health Enterprises"
"A",0.913513017274968,352,"Florida Fruit & Vegetable Association","General Electric Company"
"B",0.998598338007787,353,"American Council of Life Insurers","television association of programmers latin america"
"A",0.999997924518184,354,"Entertainment Software Association","U.S. Association of Importers of Textiles and Apparel"
"A",0.995779976955929,355,"Computer & Communications Industry Association","National Foreign Trade Council"
"A",0.987510821567122,356,"MetLife","National Milk Producers Federation"
"A",0.998070836411977,357,"Agri-Port Services","West Coast Seafood Processors Association"
"A",0.999654505643978,358,"Cybersecurity Coalition","USA Rice Federation"
"A",0.95653128979632,359,"American Fiber Manufacturers Association","Cranberry Marketing Committee"
"A",0.850718048993129,360,"American Numismatic Association","American Soybean Association"
"B",0.923962531662053,361,"Alticor","USA Poultry & Egg Export Council"
"A",0.930853218681374,362,"Korea International Trade Association","UL"
"B",0.765159450500036,363,"American Automotive Policy Council","Motion Picture Association of America"
"A",0.990291178668246,364,"Auto Care Association","Express Association of America"
"A",0.975555392519302,365,"Fonterra","National Oilseed Processors Association"
"B",0.994223683686059,366,"Alliance for Clean Technology Innovation","American Chemistry Council"
"B",0.999778820432558,367,"Lamb Weston Potato Products","The Software Alliance"
"A",0.883300815737962,368,"Allegheny Technologies Incorporated","International Intellectual Property Alliance"
"A",0.999991420896462,369,"Canadian American Bar Association","National Foreign Trade Council"
"A",0.983213567307874,370,"Atlas Air Worldwide Holdings","Overseas Korean Traders Association of Southern California"
"A",0.950325893361374,371,"DuPont","National Pork Producers Council"
"A",0.999948497433631,372,"Alliance of Automobile Manufacturers","National Pork Producers Council"
"A",0.990289331944717,373,"Home Instead","National Chicken Council"
"A",0.999953659410205,374,"Association for Accessible Medicines","Renewable Energy Group"
"B",0.982014044526091,375,"American Chamber of Commerce in South Korea","Can Manufacturers Institute"
