"","empresa_index","btm_est","btm_lwr","btm_upr","empresa","org_type","org_reference","avg_length","se_btm","naics"
"11",11,2.800895671,2.214547473,3.443243166,"Duty Drawback Coalition","Sector","Alliance is a leading duty drawback service provider that specializes in the assessment, implementation, and management of duty drawback recovery programs. Duty drawback allows for the refund of Customs duties, taxes, and fees paid on imported goods that are used as inputs in the production of. Duty Drawback is the refund of 99% of the duties, taxes, fees and tariffs paid to Customs and Border Protection on merchandise imported into the United States. Comment from Marc Hebert, Duty Drawback Coalition. Posted by the Office of United States Trade Representative on Nov 27, 2018. Document Details. The timeframes for most TFTEA drawback claim is 5 years from the date of import to the date of filing of the respective drawback claim. Ad Hoc Coalition On Duty Drawback spent $20000 lobbying in 2004. See the details. The AAEI Drawback and Duty Deferral Committee is the leading committee in the nation on drawback matters. David Corn serves as co-chair of the DDD Committee. Robert Goulder comments on the practice of duty drawbacks and a proposal in the One Big Beautiful Bill Act to limit their reach. Drawback is the refund of certain duties, internal revenue taxes and certain fees collected upon the importation of goods and refunded when the merchandise ... We are leaders in duty drawback, classification and free trade agreement services. For over 40 years, we have helped companies recover customs duties.",33643.2,0.313442779,"54"
"12",12,1.456226768,0.501990663,2.482433053,"UNISYS DE COLOMBIA SA","Other","Unisys es una empresa global de soluciones tecnológicas para la nube, los datos y la IA, el lugar de trabajo digital, la logística y las soluciones ... Unisys is a global technology solutions company for cloud, data and AI, digital workplace, logistics and enterprise computing solutions. +1 (215) 9864011. Unisys office location in Bogota, Colombia. Bogota. Calle 93 No. 11-26 Bogota, Distrito Capital de Bogotá 0 Colombia. Phone: +57 (601) 5086300. La empresa Unisys De Colombia S A fue constituida el 05-08-1952. Su dirección reportada en Registro mercantil es CL 93 # 11 - 26 en la ciudad de Bogotá, D.c., ... UNISYS DE COLOMBIA S A · Computer Systems Design and Related Services · Household Appliances and Electrical and Electronic Goods Merchant Wholesalers ... Sitio web: http://www.unisys.com/. Enlace externo para Unisys ; Sector: Servicios y consultoría de TI ; Tamaño de la empresa: Más de 10.001 empleados ; Sede: Blue ... Es una empresa que opera principalmente en el sector TIC. Conecta con sus contactos clave, proyectos, accionistas, noticias relacionadas y más. Esta empresa ... Enable online government and commercial payments (taxes, social security, utilities, services and merchandise) from any bank. Get all the information about Unisys de Colombia S.A. (Unisys Colombia), a company operating mainly in the ICT sector. Connect with its key contacts, projects, ... Unisys de Colombia SA is a company that operates in the Custom Software & IT Services industry. It employs 5to9 people and has 1Mto5M of revenue.",1674,0.505214895,"54"
"13",13,1.369247518,0.980062445,1.767624833,"Motion Picture Association of America","Sector","We are the voice of the film and television industry, a community of storytellers at the nexus of innovation, imagination, and creative expression. The Motion Picture Association (MPA) is an American trade association representing the five major film studios of the United States, the mini-major Amazon ... The Motion Picture Association, in the United States, is an organization of the major motion-picture studios that rates movies for ... We are the leading advocate of the film, television, and streaming industry around the world. The MPA works in every corner of the globe to advance the ... Digital Democracy gives you and every Californian a superpower: to monitor and probe the actions, inactions and financial backers of your elected leaders. Leading advocate of the film, television, and streaming industry around the world. Representing storytellers everywhere.",7079.9,0.200908773,"51"
"14",14,2.347619572,1.90666117,2.829244191,"Telecommunications Industry Association","Tech","The trusted industry association for the connected world. Securing ICT Supply Chain Workforce Development. Cyber & Supply Chain Security. The Telecommunications Industry Association (TIA) is accredited by the American National Standards Institute (ANSI) to develop voluntary, consensus-based ... The following list links to the websites for both US and international associations and organizations involved in the telecommunications industry. TIA Telecommunications Industry Association, 1320 North Courthouse Road Suite 200 Arlington 22201 VA United States, Tel: +1 703 907 7700 CTIA® represents the U.S. wireless communications industry and the companies throughout the mobile ecosystem that enable consumers to lead a 21st Century ... TIA brings together communities of interest across Technology, Government Affairs, Standards, and Business Performance to shape solutions, facilitate programs,",6231.333333,0.235352812,"51"
"15",15,0.101982295,-0.290486772,0.475361479,"Computer & Communications Industry Association","Tech","CCIA is a not-for-profit membership organization for companies in the computer, internet, information technology, and telecommunications industries. The Computer and Communications Industry Association (CCIA) is an international non-profit advocacy organization based in Washington, DC, United States CCIA is an international, not-for-profit trade association representing a broad cross section of communications and technology firms. For over 50 years, ... CCIA is an international, not-for-profit association representing a broad cross section of computer, communications, and Internet industry firms. CCIA engages in advocacy to promote open markets, systems, and networks in the tech industry, focusing on issues like competition, content moderation, and ... CCIA is a not-for-profit organization dedicated to promoting open markets, open systems, open networks, and full, fair, and open competition.",13541.88889,0.195369452,"51"
"16",16,0.809468496,0.145920185,1.476792906,"American Seed Trade Association","Agri","ASTA works on behalf of the seed industry to promote the research, development and movement of quality seed to meet the world's demand for food, feed, fiber ... As an authority on plant germplasm, ASTA advocates science and policy issues related to the development, marketing and movement of seed, associated products and ... Founded in 1883, ASTA represents companies involved in seed production, distribution, plant breeding & related industries in North America. ASTA's mission is to be an effective voice of action in all matters concerning the development, marketing and movement of seed, associated products and services ... ASTA's mission is to be an effective voice of action in all matters concerning the development, marketing and movement of seed, associated products and services ... Its membership consists of over 700 companies involved in seed production and distribution, plant breeding, and related industries in North America. As an ... The Seed Association of the Americas (SAA) is a non-governmental organization that fully represents the interests of the seed industry within the Americas.",6289.75,0.339508347,"11"
"17",17,3.738435762,3.012378197,4.578542987,"American Insurance Association","Sector","The American Property Casualty Insurance Association (APCIA) is the primary national trade association for home, auto, and business insurers. APCIA promotes and ... The American Insurance Association (AIA) is an insurance industry trade association representing about 300 insurance companies that provide property insurance ... AAIS serves the property & casualty insurance industry as the only national not-for-profit advisory organization governed by its Member insurance carriers. American Insurance Association (AIA) is a leading property-casualty (P&C) insurance trade organization that represents approximately 300 insurers. The Journal of Risk and Insurance (JRI) is the premier outlet for theoretical and empirical research on the topics of insurance economics and risk management. The AIA is a property and casualty insurance trade organisation, representing 350 insurers that write more than US$123 billion (about EUR83.6 billion) in ... American International Group, Inc, (AIG), is a global insurance organization providing a range of insurance and other financial services. The American Property Casualty Insurance Association (APCIA) is the primary national trade association for home, auto, and business insurers. Digital Democracy overview of the organization Property Casualty Insurance Association of America.",6797,0.399531834,"52"
"18",18,2.035436352,1.067952315,3.061800258,"COUNCIL OF AMERICAN ENTREPRISES IN COLOMBIA","Cross","The Council of American Enterprises is a coordinator and facilitator non-profit organization of U.S. investing multinationals established in Colombia . Our mission is to foster a robust economic relationship between the US and Colombia by exploring issues that hinder the commercial relationship and proposing ... US-Colombia Business Council (USCBC) is a leading business advocacy organization dedicated to enhancing the economic and commercial relationship between the ... Ricardo Triana is Executive Director of CEA. Prior to joining CEA in 2010, he was director of the Colombian Government Trade Bureau in Washington. We are the premier business advocacy organization dedicated to strengthening US and Colombia economic relationship. Contact in-country business support organizations such as the Colombian-American Chamber of Commerce or the Council of American Enterprises in ... Labor and employment attorneys Diego Acevedo and Juan Pablo Colom will participate in a webinar hosted by the Council of American Enterprises ( ... The USCBC is dedicated to strengthening the economic and commercial relationship between the United States and Colombia. The CEA (Council of American Enterprises) presented its 2014 results last week in the Country Club of Bogotá during a lunch attended by ... ... Council of American Enterprises – a local organization focused on supporting American multi-national corporations. More than 100 virtual and ...",3373,0.508634679,"54"
"19",19,-1.275800963,-1.820661747,-0.757881807,"California Cherry Board","Agri","Sweet, flavorful California cherries are a favorite ingredient around the world. Our cherry recipe collection offers a variety of drinks and dishes you can ... We want to keep the community informed of any industry-related events. Tell us about an event you'd like to add. If it meets our criteria, we'll post it! “California Cherry Board”, “California Cherry Marketing and Research. Program ... A Board to be known as the California Cherry Board is hereby established. California cherry growers expect to harvest a 10.2-million-box crop with relatively normal timing, according to the crop estimate released ... ... (California Cherry Board). The two commonly cultivated cherry species are sweet cherry (Prunus avium L.) and sour cherry (Prunus cerasus L.). The California Cherry Board, headquartered in Sacramento, is a state marketing order representing approximately 850 growers and 22 packers of all California ... Color Range. Reddish brown with a golden luster. Freshly cut cherry is often very pale, but the wood oxidizes to its famously favorable rich brown red in time. Although California's cherry production appears to be running somewhat late this year, the season is still expected to wind up by mid-June. If ... The season sees the first fruits ripening by the end of April, with shipments wrapping up by mid to late June, and winds down quickly.",1923.666667,0.271117332,"11"
"20",20,0.671473699,0.089492484,1.248033511,"American Forest & Paper Association","Sector","Our mills operate year-round to manufacture and ship essential, everyday products like cardboard boxes, paper cups, toilet paper, mail and paper bags. The American Forest & Paper Association (AF&PA) is the national trade association of the paper and wood products industry. The American Forest & Paper Association (AF&PA) serves to advance US paper and wood products manufacturers through fact-based public policy and marketplace ... Our members' programs and initiatives are helping drive investment and create opportunities in American manufacturing. See how the future is being redefined ... The American Forest & Paper Association (AF&PA) serves to advance public policies that foster economic growth, job creation and global competitiveness. An industry group filed a lawsuit alleging that the emissions factors developed by EPA as part of its greenhouse gas reporting requirements for paper mills and ...",5725,0.295546181,"31-33"
"21",21,2.370758947,1.914327292,2.864223354,"Coalition of Services Industries","Sector","Making the global economy faster, smarter and more inclusive. CSI is devoted to advancing global trade and investment rules that enable the services sector. The Coalition of Services Industries (CSI) represents the interests of the dynamic American service economy, which employs over 75% of the workforce. The Coalition of Services Industries (CSI) represents the interests of the dynamic American service economy, which employs over 75% of the workforce. CSI's 'foremost goal is to open foreign markets to US business and allow them to compete abroad.' To do this it seeks to reduce barriers to trade in services ... The Coalition of Services Industries (CSI) is the leading business organization dedicated to enhancing the global competitiveness of the US service sector. The US Coalition of Services Industries (CSI) commissioned Content First to prepare a state-by-state analysis of services exports and state-level services ... Christine Bliss is President of the Coalition of Services Industries (CSI). Prior to joining CSI, she served as the Assistant U.S. Trade Representative (USTR) ...",11384,0.242320424,"54"
"22",22,4.238854203,3.399362979,5.218366753,"Chevron","Large","Chevron works to meet the world's growing demand for energy by exploring for oil and natural gas; refining and marketing gasoline; producing chemicals and ... Chevron with Techron provides superior gasoline & diesel fuel. Find a gas station near you, view promotions, download the app or apply for a Techron credit ... Chevron Corporation is an integrated energy company. The Company produces crude oil and natural gas; manufactures transportation fuels, lubricants, ... Chevron deference is the latitude federal judges give agencies over how to interpret the statutes they administer when a dispute arises. Some 40 years ago, the ...",3586.5,0.464031575,"21"
"23",23,2.059073734,1.405677778,2.77877823,"USA Poultry & Egg Export Council","Agri","USAPEEC has offices all over the world to represent U.S. poultry and egg interests. From trade policy to promotional activities, USAPEEC is working to build ... The USA Poultry & Egg Export Council (USAPEEC) is a non-profit trade association whose members account for more than 95% of all US poultry and egg exports. Although USAPEEC's mission is to promote exports of U.S. poultry and eggs worldwide, the Council has evolved into an association that advocates for the industry ... USAPEEC is a trade organization dedicated to increasing US poultry and egg exports worldwide. Details Page · Nonprofit organization usapeec.org USAPEEC serves as the crucial link connecting food product importers around the world with exporters of high-quality U.S. poultry and egg products. With over ... The USA Poultry & Egg Export Council (USAPEEC) is an industry association whose work includes the promotion of US poultry and egg products. USAPEEC is a trade association of the US poultry and egg industry that is dedicated to increasing exports of US poultry and eggs worldwide. Welcome to the official website of USA Poultry & Egg Export Council ASEAN office. The Council is the trade association of the US Poultry & Egg Industry. If you missed us at the show, don't worry—we're still here to help you explore high-quality U.S. chicken, turkey, duck, and egg products for your business. USPOULTRY represents producers and processors of broilers, turkeys, eggs and breeding stock, and allied companies. Our focus is research, education and ...",5133.333333,0.350280728,"42"
"24",24,3.622502836,3.076573566,4.24403519,"National Association of Manufacturers","Sector","The National Association of Manufacturers (NAM) represents 14,000 member companies from across the country, in every industrial sector. We are the nation's most ... It is the nation's largest manufacturing industrial trade association, representing 14,000 small and large manufacturing companies in every industrial sector ... We are the largest manufacturing association in the United States - Leading Innovation, Creating Oppo The NAM is the largest manufacturing association in the United States, representing small and large manufacturers in every sector and in all 50 states. The National Association of Manufacturers (NAM) is the preeminent US manufacturers association as well as the nation's largest industrial trade association. The National Association of Manufacturers works for the success of the people who make things in 🇺🇸. We are the industry's one-stop resource and voice. The National Association of Manufacturers (NAM) is the preeminent US manufacturers association as well as the nation's largest industrial trade association.",16834.9,0.297821843,"31-33"
"25",25,1.501857569,0.823443619,2.207247941,"Narrow Fabrics Institute","Sector","USINFI is a member group of Advanced Textiles Association (ATA), a trade association comprised of member companies representing the global ... The US Industrial Fabrics Institute and the Narrow Fabrics Institute, both divisions of the Advanced Textiles Association, are merging into one larger group. The Narrow Fabrics Institute defines narrow fabrics as textiles that are no more than 12 inches (300mm) in width and are made by weaving, ... Specifically, the Narrow Fabrics Institute (NFI) and Advanced Textiles Products (ATP) are key IFAI divisions for collaboration. Contacts. Janelle Buerkley ... US textile groups urge continuation of tariffs on China finished goods. The National Council of Textile Organisations, The Narrow Fabrics Institute and the ... Attached are the comments from the National Council of Textile Organizations, the Narrow Fabrics Institute, and the U.S. Industrial Fabrics Institute ... The Narrow Fabrics Institute (NFI) Division of IFAI—Vast Amount of the Products within the Industry! Learn more about NFI membership here:. The Narrow Fabrics Institute (NFI) defines narrow fabrics as textiles that are no more than 12 inches (300mm) in width and are made by weaving, ... Institute of Narrow Fabrics. Jakob Müller Maschinenfabrik. Frick. CH-5070. Switzerland. Phone: +41 (62) 865-5111. Fax: +41 (62) 865-5755. Advertiser:. Jeremy Ginsburg's Post · Speakers - U.S. Industrial and Narrow Fabrics Institute · More from this author · Explore topics. Sales · Marketing ...",21467.33333,0.353011307,"31-33"
"26",26,2.300506364,1.265689326,3.478776161,"Korea Automobile Manufacturers Association","Sector","KAMA Logo KAMA, 25 Banpodaero, Seocho-gu, Seoul, 06710, Korea Copyright(c)2015 KAMA. All rights reserved. Korea Automobile Manufacturers Association, or KAMA, is a South Korean automobile and motor vehicle association National Assembly in July 1988. The Korea Automobile & Mobility Association (KAMA) had negative and strategic engagement with climate change regulations, including opposition to the South ... Korean Automobile Industry; News. Member Companies. HYUNDAI; KIA; GM KOREA; Renault Korea; KG Mobility. Sub visual - Car is Art, KOREA is ... The voluntary commitment sets new standards for all new types of motor vehicles concerning bumpers, anti-lock brake systems and daytime running lights. This briefing provides an analysis of the climate-related policy engagement of the Korea Automobile Manufacturers Association (KAMA), which includes Hyundai ... Korea Automobile & Mobility Association (KAMA) is a non-profit organization representing the interests of automakers in Korea. Korea Automobile Manufacturers Association is a non-profit organization representing the interests of automakers in Korea. OUR WORK. The EESC issues between 160 and 190 opinions and information reports a year. It also organises several annual initiatives and events with a focus on ...",4623,0.564562968,"54"
"27",27,-0.472014421,-0.876675793,-0.070661607,"National Potato Council","Agri","The National Potato Council is the advocate for the economic well-being of US potato growers on federal legislative, regulatory, environmental, and trade ... The National Potato Council provides a unified national voice for US potato growers. Grassroots-driven and member-led, NPC represents growers in our nation's ... 1.1K+ followers · 190 following · 205 posts · @nationalpotatocouncil: “Standing Up for Potatoes on Capitol Hill!” The board launches impactful marketing campaigns; coordinates regional, national and international market production research; and establishes new trade markets ... National Potato Council organization profile. Contributions in the 2024 cycle: $37500. Lobbying in 2024: $275000. Outside Spending in the 2024 cycle: $0. Based in Denver, Colorado, Potatoes USA is the nation's foremost marketing and research organization for America's favorite vegetable. The National Potato Council provides a unified national voice for US potato growers. Grassroots- driven and member-led, NPC represents growers in our nation's ... The PAA serves as the official professional society for those involved in potato research, extension, production, and utilization. The National Potato Council is the advocate for the economic well-being of U.S. potato growers on federal legislative, regulatory, environmental, ...",3079.222222,0.205615864,"11"
"28",28,-1.162089525,-1.577123784,-0.768680785,"California Table Grape Commission","Agri","Today, 99 percent of U.S. table grapes are produced in California's warm, dry climate that is ideal for grape growing. With more than 80 grape varieties grown, ... The purpose of the commission is to maintain and expand markets for fresh California grapes and to create new and larger intrastate, interstate, and foreign ... Existing law provides for the California Table Grape Commission, which comprises 21 grape producers and one public member appointed by the Secretary of Food and ... California table grape growers work toward improving mechanized and automated functions of the table grape growing and harvesting process. ""Fresh grapes"" also designated ""table grapes"" means any and all varieties of grapes produced in the State of California shipped for fresh human consumption, but. The Fresno-based California Table Grape Commission plans to kick off an extensive global marketing campaign for 2025-26, says Kathleen Nave, commission ... The table grape and wine grape sectors are represented by the Table Grape Commission and the California Association of Winegrape Growers. Table ... Ian LeMay, President of the California Fresh Fruit Association will become President & CEO of the California Table Grape Commission BB #:153597 in the spring ... As summer arrives and the California table grape season ramps into full swing, Ian LeMay, president of the California Table Grape Commission is in a ...",2235.363636,0.206235459,"11"
"29",29,0.332582454,-0.001948295,0.652820941,"International Intellectual Property Alliance","Sector","IIPA is the umbrella organization through which members of the US creative industries work together to reduce or eliminate barriers to their copyright-based ... The International Intellectual Property Alliance (IIPA) is a coalition of five trade associations representing American companies that produce copyright- ... The International Intellectual Property Alliance (IIPA) is a private sector coalition, formed in 1984, of trade associations representing ... IIPA is a private sector coalition, formed in 1984, of trade associations representing US copyright-based industries working to improve international ... The International Intellectual Property Alliance (IIPA), formed in 1984, is a private sector coalition of seven trade associations representing US producers of ... Discover the International Intellectual Property Alliance (IIPA), its mission, and how it advocates for copyright protection and enforcement globally. The International Intellectual Property Alliance protects computer software, films, television programs, music, books and journals. SECTOR. Industrials ...",15934.5,0.167032968,"51"
"30",30,2.176324085,1.215174,3.188872656,"Steve Vest, Senior Vice President Global Public Policy at Time Warner, Inc.","Large","Mr. Vest, who has decades of public and private sector experience, recently served as the senior vice president of global public policy for Time ... He replaced MacKinnon after she moved to Time Warner Inc. as senior vice president of global public policy. Time Warner Cable also announced ... TLJ News from August 1-5, 2008. 8/4. Steve Vest joined Time Warner as Senior Vice President for Global Public Policy. techlawjournal.com. news feed 4. Several ... Washington- Steve Vest, senior vice president of government relations for the National Cable & Telecommunications Association, is leaving the trade group to ... Mr. Vest, who has decades of public and private sector experience, recently served as the senior vice president of global public policy for Time ... Senior Vice President, Global Public Policy. WarnerMedia. Sep 2008 - Nov 2018 ... Vice President, Government Relations and Public Affairs. TV Guide. Jan ... executive Steve Vest will take over as the association's top lobbyist when Gail MacKinnon leaves the organization to become senior vp global ... WASHINGTON, DC - JUNE 11: Steve Vest, Senior Vice President of Global Public Policy at Time Warner Inc, attends the screening of Warner Bros. new ... Digitally Signed By: Steve Vest, Senior Vice President, Global Public Policy. Date. 01/21/2014. LOBBYING ACTIVITY. Select as many codes as necessary to ... Dixon will serve as vice president, public policy, reporting to senior vice president Steve Vest. Dixon's resume includes entries as deputy chief of the ...",5697,0.503494555,"51"
